nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
casual vintage valencia,españa,habitación triple,1,familia,gracias,"la ubicación, las vistas",todo bien,9.0,2025-01-26,muy bien
casual vintage valencia,españa,habitación doble,3,pareja,fantástico,"el personal, la ubicación y el desayuno. todo excelente.",nada en especial.,9.0,2025-01-26,muy bien
casual vintage valencia,españa,habitación doble,3,pareja,muy bien,la ubicación con las vistas a la plaza y la comodidad de la cama.,el aislamiento de las ventanas.,8.0,2025-01-22,muy bien
casual vintage valencia,españa,,3,familia,"céntrico, sencillo, cómodo","ubicación, camas muy comfortables, personal amable. es sencillo. cogimos una habitación que resultó ser interior, pero porque queríamos litera por la peque que le hacía ilusión. pero estaba bien. solo que si alguien quiere que sea exterior hay que avisar y especificar. pero la habitación es suficientemente amplia, cómoda y limpia.","igual que la habitación que nos tocó era interior, pero vamos, es cuestión de avisar antes.",8.0,2025-01-22,muy bien
casual vintage valencia,españa,habitación doble deluxe,4,pareja,hotel muy recomendable.,lo que más me gustó es la ubicación y el personal. el buffet del desayuno muy correcto y muy bien atendido.,"estábamos en el primer piso y la insonorización de la habitación es mejorable. al estar en el centro, hay bastante tránsito de gente y hay bastante ruido. el aparato de climatización de la habitación era un poco ruidoso.",9.0,2025-01-20,muy bien
casual vintage valencia,españa,,2,pareja,fantástico,ubicación excelente.,,9.0,2025-01-16,muy bien
casual vintage valencia,españa,,1,grupo,"estuvo bien, agradable",la ubicación,"que no entraba luz por la ventana, pues era una terraza. eso no nos gustó, esperábamos tener otra vista, la verdad",7.0,2025-01-15,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,recomendable.,ubicación excelente. el desayuno bastante completo y rico.,"llegué pronto y la persona que me hizo el pre check-in me dijo que me llamaría por tfno cuando estuviese lista la habitación. estaba dando vueltas esperando hasta que decido esperar en el hotel y resulta que la habitación ya estaba lista, pero nadie avisó. estaba agotada, pero bueno, subí a la habitación y listo.",9.0,2025-01-13,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,fantástico,"mejor que lo que esperaba , por el precio. excelente. me lo apunto para repetir",,9.0,2025-01-10,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,muy bien,muy buena ubicación y muy buena atención,,8.0,2025-01-08,muy bien
casual vintage valencia,españa,habitación doble,1,pareja,muy bien,el hotel está céntrico. las instalaciones son muy cómodas y el personal es muy amable,quizá se podría insonorizar algo mas ya que se oyen mucho los ruidos de la calle,8.0,2025-01-07,muy bien
casual vintage valencia,argentina,habitación doble - 2 camas,2,pareja,fantástico,la ubicación y vistas,el café del desayuno,9.0,2025-01-06,muy bien
casual vintage valencia,españa,,1,familia,fantástico,"la ubicación , en pleno centro de valencia, y el tamaño de la habitación.",,9.0,2025-01-06,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,repetiré,"está genial de ubicación, la habitación muy bien. el personal muy amable cara feliz con ojos sonrientes","yo creo que había una fuga de agua, era un poco molesto.",9.0,2025-01-04,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,pareja,fantástico,la ubicación y la limpieza.,,9.0,2025-01-03,muy bien
