nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
ilunion aqua 3,españa,,3,familia,muy bien,,,8.0,2023-08-15,bien
ilunion aqua 3,españa,,3,grupo,fantástico,,,9.0,2023-08-15,bien
ilunion aqua 3,españa,,1,grupo,muy bien,,,8.0,2023-08-15,bien
ilunion aqua 3,españa,,2,familia,muy bien,,,8.0,2023-08-13,bien
ilunion aqua 3,españa,,7,pareja,fantástico,,,9.0,2023-08-12,bien
ilunion aqua 3,españa,,3,familia,bien,,,7.0,2023-08-11,bien
ilunion aqua 3,españa,,1,grupo,fantástico,,,9.0,2023-08-10,bien
ilunion aqua 3,españa,,2,persona que viaja sola,fantástico,,,9.0,2023-08-09,bien
ilunion aqua 3,españa,,2,pareja,bien,,,7.0,2023-08-09,bien
ilunion aqua 3,españa,,1,familia,muy bien,,,8.0,2023-08-08,bien
ilunion aqua 3,españa,,3,pareja,bien,,,7.0,2023-08-08,bien
ilunion aqua 3,españa,,4,pareja,bien,,,7.0,2023-08-07,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-08-07,bien
ilunion aqua 3,españa,,3,familia,fantástico,,,9.0,2023-08-07,bien
ilunion aqua 3,españa,,2,grupo,muy bien,,,8.0,2023-08-07,bien
ilunion aqua 3,españa,,2,pareja,bien,,,7.0,2023-08-05,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-08-04,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-08-03,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-07-30,bien
ilunion aqua 3,españa,,1,persona que viaja sola,muy bien,,,8.0,2023-07-26,bien
ilunion aqua 3,españa,,3,pareja,fantástico,,,9.0,2023-07-25,bien
ilunion aqua 3,españa,,2,pareja,muy bien,,,8.0,2023-07-24,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-07-24,bien
ilunion aqua 3,españa,,1,pareja,fantástico,,,9.0,2023-07-22,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-07-21,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-07-21,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-07-21,bien
ilunion aqua 3,españa,,2,familia,bien,,,7.0,2023-07-17,bien
ilunion aqua 3,españa,,2,pareja,bien,,,7.0,2023-07-17,bien
ilunion aqua 3,españa,,1,familia,muy bien,,,8.0,2023-07-17,bien
ilunion aqua 3,españa,,2,familia,muy bien,,,8.0,2023-07-15,bien
ilunion aqua 3,españa,,2,pareja,fantástico,,,9.0,2023-07-15,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-07-15,bien
ilunion aqua 3,españa,,3,familia,fantástico,,,9.0,2023-07-14,bien
ilunion aqua 3,españa,,1,pareja,fantástico,,,9.0,2023-07-13,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-07-08,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-07-07,bien
ilunion aqua 3,españa,,2,pareja,bien,,,7.0,2023-07-05,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-07-04,bien
ilunion aqua 3,españa,,3,pareja,bien,,,7.0,2023-07-02,bien
ilunion aqua 3,españa,,2,familia,muy bien,,,8.0,2023-07-02,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-07-01,bien
ilunion aqua 3,españa,,1,pareja,fantástico,,,9.0,2023-06-30,bien
ilunion aqua 3,españa,,1,grupo,fantástico,,,9.0,2023-06-29,bien
ilunion aqua 3,españa,,1,familia,muy bien,,,8.0,2023-06-27,bien
ilunion aqua 3,españa,,2,persona que viaja sola,bien,,,7.0,2023-06-25,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-06-22,bien
ilunion aqua 3,españa,,2,grupo,muy bien,,,8.0,2023-06-21,bien
ilunion aqua 3,españa,,2,pareja,fantástico,,,9.0,2023-06-17,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-06-17,bien
ilunion aqua 3,españa,,2,familia,muy bien,,,8.0,2023-06-15,bien
ilunion aqua 3,españa,,2,grupo,fantástico,,,9.0,2023-06-12,bien
ilunion aqua 3,españa,,2,pareja,muy bien,,,8.0,2023-06-12,bien
ilunion aqua 3,españa,,1,grupo,muy bien,,,8.0,2023-06-11,bien
ilunion aqua 3,españa,,2,grupo,muy bien,,,8.0,2023-06-11,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-06-11,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-06-09,bien
ilunion aqua 3,españa,,1,pareja,fantástico,,,9.0,2023-06-08,bien
ilunion aqua 3,españa,,1,grupo,bien,,,7.0,2023-06-08,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-06-07,bien
ilunion aqua 3,españa,,1,grupo,muy bien,,,8.0,2023-06-06,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-06-05,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-06-05,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-06-04,bien
ilunion aqua 3,españa,,1,grupo,bien,,,7.0,2023-06-04,bien
ilunion aqua 3,españa,,1,grupo,fantástico,,,9.0,2023-06-04,bien
ilunion aqua 3,españa,,2,pareja,fantástico,,,9.0,2023-06-04,bien
ilunion aqua 3,españa,,1,grupo,muy bien,,,8.0,2023-06-04,bien
ilunion aqua 3,españa,,1,grupo,fantástico,,,9.0,2023-06-04,bien
ilunion aqua 3,españa,,2,pareja,fantástico,,,9.0,2023-06-04,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-06-03,bien
ilunion aqua 3,españa,,2,pareja,muy bien,,,8.0,2023-05-29,bien
ilunion aqua 3,españa,,3,pareja,muy bien,,,8.0,2023-05-29,bien
ilunion aqua 3,españa,,3,grupo,muy bien,,,8.0,2023-05-26,bien
ilunion aqua 3,españa,,4,pareja,muy bien,,,8.0,2023-05-26,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-05-26,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-05-22,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-05-22,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-05-22,bien
ilunion aqua 3,españa,,1,pareja,fantástico,,,9.0,2023-05-22,bien
ilunion aqua 3,españa,,1,pareja,fantástico,,,9.0,2023-05-21,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-05-21,bien
ilunion aqua 3,españa,,1,pareja,fantástico,,,9.0,2023-05-21,bien
ilunion aqua 3,españa,,1,familia,fantástico,,,9.0,2023-05-21,bien
ilunion aqua 3,españa,,1,pareja,fantástico,,,9.0,2023-05-21,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-05-20,bien
ilunion aqua 3,españa,,1,familia,muy bien,,,8.0,2023-05-20,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-05-18,bien
ilunion aqua 3,españa,,1,persona que viaja sola,muy bien,,,8.0,2023-05-18,bien
ilunion aqua 3,españa,,3,pareja,fantástico,,,9.0,2023-05-14,bien
ilunion aqua 3,españa,,2,familia,bien,,,7.0,2023-05-13,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-05-11,bien
ilunion aqua 3,españa,,3,persona que viaja sola,muy bien,,,8.0,2023-05-09,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-05-08,bien
ilunion aqua 3,españa,,1,pareja,muy bien,,,8.0,2023-05-08,bien
ilunion aqua 3,españa,,1,pareja,bien,,,7.0,2023-05-08,bien
ilunion aqua 3,españa,,1,familia,muy bien,,,8.0,2023-05-08,bien
ilunion aqua 3,españa,,1,persona que viaja sola,bien,,,7.0,2023-05-07,bien
ilunion aqua 3,españa,,2,grupo,muy bien,,,8.0,2023-05-04,bien
ilunion aqua 3,españa,,1,familia,bien,,,7.0,2023-05-04,bien
