nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,agradable,,,6.0,2025-10-23,muy bien
casual vintage valencia,españa,habitación doble,2,pareja,excepcional,,,10.0,2025-09-08,muy bien
casual vintage valencia,españa,,1,pareja,excepcional,,,10.0,2025-08-27,muy bien
casual vintage valencia,españa,,3,familia,excepcional,,,10.0,2025-08-21,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,6,persona que viaja sola,excepcional,,,10.0,2025-08-17,muy bien
casual vintage valencia,españa,,1,familia,excepcional,,,10.0,2025-08-10,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,2,pareja,excepcional,,,10.0,2025-08-06,muy bien
casual vintage valencia,españa,habitación doble con terraza,1,pareja,excepcional,,,10.0,2025-08-05,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,4,persona que viaja sola,excepcional,,,10.0,2025-08-04,muy bien
casual vintage valencia,españa,,1,pareja,excepcional,,,10.0,2025-07-21,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,persona que viaja sola,excepcional,,,10.0,2025-07-13,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,excepcional,,,10.0,2025-06-24,muy bien
casual vintage valencia,españa,habitación triple,1,familia,excepcional,,,10.0,2025-06-19,muy bien
casual vintage valencia,españa,,1,persona que viaja sola,excepcional,,,10.0,2025-05-22,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,2,pareja,excepcional,,,10.0,2025-05-11,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,excepcional,,,10.0,2025-05-06,muy bien
casual vintage valencia,españa,,1,pareja,excepcional,,,10.0,2025-04-22,muy bien
casual vintage valencia,españa,,1,familia,excepcional,,,10.0,2025-04-16,muy bien
casual vintage valencia,españa,,2,pareja,excepcional,,,10.0,2025-04-12,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,excepcional,,,10.0,2025-04-08,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,excepcional,,,10.0,2025-04-06,muy bien
casual vintage valencia,españa,,2,familia,excepcional,,,10.0,2025-03-23,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,excepcional,,,10.0,2025-03-05,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,2,pareja,excepcional,,,10.0,2025-02-14,muy bien
casual vintage valencia,españa,,1,pareja,excepcional,,,10.0,2025-02-14,muy bien
casual vintage valencia,españa,,1,pareja,excepcional,,,10.0,2025-01-31,muy bien
casual vintage valencia,españa,,1,pareja,excepcional,,,10.0,2025-01-28,muy bien
casual vintage valencia,españa,habitación triple,1,grupo,excepcional,,,10.0,2025-01-28,muy bien
casual vintage valencia,españa,habitación triple,1,grupo,agradable,,,6.0,2025-01-23,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,2,persona que viaja sola,excepcional,,,10.0,2025-01-22,muy bien
casual vintage valencia,españa,,1,pareja,excepcional,,,10.0,2025-01-21,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,familia,excepcional,,,10.0,2025-01-04,muy bien
