nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,7,persona que viaja sola,atienden en ingles,el precio,que me hablen en ingles,6.0,2026-03-22,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,3,persona que viaja sola,mucho que mejorar,"me gustó sobretodo la ubicación, esta cerca del transporte público y andando 10 - 15 min llegas al centro de la ciudad. el desayuno era escueto pero suficiente. también las camas eran amplias.","que la mayoría de los que atienden el lugar no sepan hablar nada de español. tuve un problema con un ticket, intenté explicárselo a una de ellas y me soltó que se lo explicara en inglés de mala manera. también la falta de organización, llegue tarde del vuelo y me cambiaron como 3 veces de habitación porque no sabían quién estaba ahí. y la litera de arriba que me tocó no tenía luz porque le habían cortado el cable, entiendo que no puedan estar pendiente de todo pero no arreglar cosas básicas... le falta organizarse y contratar personas que tengan idea de español porque yo manejaba algo de inglés pero quien no sepa... no va a poder solucionar nada allí.",2.0,2026-03-20,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,1,familia,personal super amable y profesional.hostal muy recomendable,el personal super amable y te explica todo els chicas en el check in fueron muy amables . muchas gracias por todo.hemos estado muy cómodos.es muy recomendable.mil gracias a todos el equipo.,,10.0,2026-03-18,muy bien
the river hostel,españa,cama en habitación compartida mixta de 8 camas,1,persona que viaja sola,normal,el precio es muy barato y esta muy bien ubicado,mucho ruido y el check in no fue sencillo,6.0,2026-03-17,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,excepcional,todo está muy bien,,10.0,2026-03-09,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,re bien,"me costó 17 pavos la noche y súper bien, la de recepción agradable y nada de que quejarme a decir verdad",,10.0,2026-03-03,muy bien
the river hostel,españa,cama en habitación compartida mixta de 8 camas,2,persona que viaja sola,excepcional,la atención personalizada.,,10.0,2026-03-02,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,1,persona que viaja sola,personal excepcional,aytana maike asia juan valentina son los mejores del staff,,10.0,2026-02-25,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,1,persona que viaja sola,pésimo,malo,,1.0,2026-02-23,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,6,persona que viaja sola,pésimo,nada,la recepción no dio mucha información,3.0,2026-02-11,muy bien
the river hostel,españa,litera en una habitación compartida femenina,5,persona que viaja sola,aceptable,la ubicación,"el ambiente que había no era nada seguro, la cocina imposible usarla ,siempre sucia, en la nevera lo mismo sucia y con mucho riesgo que te roben lo que dejas. es una lastima, podría ser un hostel mejor",5.0,2026-02-03,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,6,persona que viaja sola,,,,3.0,2026-02-02,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,1,persona que viaja sola,excepcional,los empleados excelentes,excelente todo,10.0,2026-02-02,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,excepcional,la vista,,10.0,2026-01-30,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,3,persona que viaja sola,volveré a repetir,fue mejor de lo que me esperaba para ser mi primera vez en un hostel,prácticamente estaba todo perfecto incluso mejor de lo q me esperaba y todo muy limpio,10.0,2026-01-28,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,3,persona que viaja sola,agradable,la ubicación y el trato con el personal,"los huespedes no tenian ni sentido de limpieza ni de vergüenza, robaron los productos de alimentación que habia comprado, por mas que limpie el personal la gente no ayuda ensucian y dejan todo tirado, es una pena por que asi quitan las ganas de ir y convivir",6.0,2026-01-27,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,2,persona que viaja sola,volveré,"la atención de las chicas en recepción, y del personal en general, muy amables y cordiales",no hay nada de lo que deba quedarme,10.0,2026-01-27,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,excepcional,"la ubicacion es perfecta, y el personal todo el tiempo disponible para resolver cualquier detalle. he tenido un pequeño inconveniente, y lo han resuelto muy bien! magnifico el personal.",todo ha ido bien. ademas se ha creado un grupo muy lindo en la sala compartida! me la he pasado genial.,10.0,2026-01-22,muy bien
the river hostel,españa,cama en habitación compartida mixta de 8 camas,1,persona que viaja sola,muy bien todo,todo,,10.0,2026-01-20,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,"muy rápido, tranquilo y conveniente",tranquilo,nda,10.0,2026-01-20,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,pésimo,el personal,"nada todo sucio, gente fumando porros adentro nada de control",1.0,2026-01-19,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,4,persona que viaja sola,excepcional,"me alojé recientemente y la experiencia no puede ser mejor. todas las chicas de la recepción fueron encantadoras, siempre con una sonrisa y dispuestas a ayudar en lo que hiciera falta. el alojamiento es muy cómodo y tranquilo, ideal para descansar. la cocina está súper bien equipada, con todo lo necesario para cocinar con comodidad. además, la ubicación es excelente. sin duda un lugar al que volvería sin pensarlo.",,10.0,2026-01-19,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,1,persona que viaja sola,excepcional,el buen trato y cordialidad del personal,,10.0,2026-01-10,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,2,persona que viaja sola,aceptable,está en una buena ubicación y el personal muy amable,las literas hacen mucho ruido y las habitaciones un poco descuidadas,5.0,2026-01-08,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,muy buen trato.,el trato de los recepcionistas.,"el olor de la habitación, pero es comprensible",10.0,2026-01-08,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,muy bien por el precio.,el desayuno era algo básico pero no estaba mal. la ubicación muy bien.,la limpieza en general y quizá la ventilación en las habitaciones es mejorable. pero tampoco estaba sucio ni era desagradable.,6.0,2026-01-06,muy bien
